127.0.0.1 - - [19/Jul/2018:09:23:12 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:23:13 +0530] "GET /FundooNotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:23:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:23:44 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:23:45 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:23:45 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:23:45 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:32:05 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:32:15 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:32:16 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:32:41 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:32:41 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:33:07 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:33:08 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:33:22 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:33:22 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:33:27 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:33:28 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:40:32 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:40:32 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:40:32 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:40:33 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:45:28 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:45:29 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:57:42 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jul/2018:09:57:42 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 2164
